bodyType,color,engineDisplacement,enginePower,fuelType,mileage,numberOfDoors,productionDate,transmission,ownersNumber,drive,state,price,new,dublicate_ptc,no_ptc,original_ptc
внедорожник,чёрный,2.0,177.0,дизель,164000.0,5.0,2012.0,1.0,2.0,1,1.0,850000.0,0,0,0,1
внедорожник,голубой,4.4,575.0,бензин,13500.0,5.0,2018.0,1.0,1.0,1,1.0,6100000.0,0,0,0,1
внедорожник,чёрный,2.0,184.0,дизель,135000.0,5.0,2012.0,1.0,2.0,1,1.0,990000.0,0,0,0,1
внедорожник,чёрный,3.0,306.0,бензин,89000.0,5.0,2014.0,1.0,2.0,1,1.0,2000000.0,0,0,0,1
внедорожник,коричневый,2.0,184.0,бензин,146000.0,5.0,2014.0,1.0,2.0,1,1.0,1400000.0,0,0,0,1
внедорожник,коричневый,2.0,245.0,бензин,29200.0,5.0,2014.0,1.0,2.0,1,1.0,1850000.0,0,0,0,1
внедорожник,чёрный,3.0,249.0,дизель,0.0,5.0,2019.0,1.0,,1,1.0,5900000.0,0,0,0,1
седан,коричневый,3.0,320.0,бензин,126000.0,4.0,2014.0,1.0,2.0,1,1.0,1600000.0,0,0,0,1
внедорожник,белый,3.0,381.0,дизель,79500.0,5.0,2013.0,1.0,2.0,1,1.0,2150000.0,0,0,0,1
седан,коричневый,2.0,125.0,бензин,315000.0,4.0,1983.0,0.0,3.0,0,1.0,450000.0,0,1,0,0
внедорожник,чёрный,3.0,249.0,дизель,0.0,5.0,2020.0,1.0,,1,1.0,5980000.0,1,0,0,1
седан,чёрный,3.0,249.0,дизель,2700.0,4.0,2019.0,1.0,1.0,1,1.0,7109997.0,0,0,0,1
седан,коричневый,3.0,400.0,дизель,458.0,4.0,2019.0,1.0,1.0,1,1.0,6109999.0,0,0,0,1
внедорожник,чёрный,3.0,340.0,бензин,0.0,5.0,2019.0,1.0,,1,1.0,6660000.0,0,0,0,1
лифтбек,голубой,2.0,184.0,бензин,108000.0,5.0,2013.0,1.0,2.0,1,1.0,1250000.0,0,0,0,1
