id,engineDisplacement,enginePower,mileage,numberOfDoors,внедорожник,компактвэн,купе,лифтбек,минивэн,открытый,седан,универсал,хетчбек,белый,бордовый,голубой,жёлтый,зелёный,золотистый,золотой,коричневый,красный,оранжевый,пурпурный,розовый,серебристый,серый,синий,фиолетовый,чёрный,бензин,гибрид,дизель,электро,productionDate,ownersNumber,drive,steeringWheelSide,source,price,new,automatic,mechanical,robot,dublicate_ptc,no_ptc,original_ptc,crashed_car,excellent_state_or_new,good_state
0,2.0,177.0,164000.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2012.0,2.0,2,0.0,auto_ru,850000.0,0,1,0,0,0,0,1,0,0,1
1,4.4,575.0,13500.0,5.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2018.0,1.0,2,0.0,auto_ru,6100000.0,0,1,0,0,0,0,1,0,0,1
2,2.0,184.0,135000.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2012.0,2.0,2,0.0,auto_ru,990000.0,0,1,0,0,0,0,1,0,0,1
3,3.0,306.0,89000.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2014.0,2.0,2,0.0,auto_ru,2000000.0,0,1,0,0,0,0,1,0,0,1
4,2.0,184.0,146000.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2014.0,2.0,2,0.0,auto_ru,1400000.0,0,1,0,0,0,0,1,0,0,1
5,2.0,245.0,29200.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2014.0,2.0,2,0.0,auto_ru,1850000.0,0,1,0,0,0,0,1,0,0,1
6,3.0,249.0,0.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2019.0,,2,0.0,auto_ru,5900000.0,0,1,0,0,0,0,1,0,0,1
7,3.0,320.0,126000.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2014.0,2.0,2,0.0,auto_ru,1600000.0,0,1,0,0,0,0,1,0,0,1
8,3.0,381.0,79500.0,5.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013.0,2.0,2,0.0,auto_ru,2150000.0,0,1,0,0,0,0,1,0,0,1
9,2.0,125.0,315000.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1983.0,3.0,1,0.0,auto_ru,450000.0,0,0,1,0,1,0,0,0,0,1
10,3.0,249.0,0.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2020.0,,2,0.0,auto_ru,5980000.0,1,1,0,0,0,0,1,0,0,1
11,3.0,249.0,2700.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2019.0,1.0,2,0.0,auto_ru,7109997.0,0,1,0,0,0,0,1,0,0,1
12,3.0,400.0,458.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2019.0,1.0,2,0.0,auto_ru,6109999.0,0,1,0,0,0,0,1,0,0,1
13,3.0,340.0,0.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2019.0,,2,0.0,auto_ru,6660000.0,0,1,0,0,0,0,1,0,0,1
14,2.0,184.0,108000.0,5.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013.0,2.0,2,0.0,auto_ru,1250000.0,0,1,0,0,0,0,1,0,0,1
15,2.0,150.0,368161.0,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2006.0,1.0,1,0.0,auto_ru,627000.0,0,1,0,0,0,0,1,0,0,1
16,3.0,320.0,55500.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2018.0,1.0,2,0.0,auto_ru,3799000.0,0,1,0,0,0,0,1,0,0,1
17,2.0,190.0,24928.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2018.0,1.0,2,0.0,auto_ru,2737000.0,0,1,0,0,0,0,1,0,0,1
18,3.0,249.0,0.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2020.0,,2,0.0,auto_ru,7280000.0,1,1,0,0,0,0,1,0,0,1
19,3.0,313.0,98800.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2016.0,3.0,2,0.0,auto_ru,2740000.0,0,1,0,0,0,0,1,0,0,1
20,3.0,306.0,175000.0,5.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2010.0,3.0,1,0.0,auto_ru,870000.0,0,1,0,0,0,0,1,0,0,1
21,3.0,313.0,34909.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2018.0,1.0,2,0.0,auto_ru,,0,1,0,0,0,0,1,0,0,1
22,2.0,156.0,108400.0,4.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012.0,3.0,1,0.0,auto_ru,750000.0,0,1,0,0,0,0,1,0,0,1
23,3.0,340.0,0.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2019.0,,2,0.0,auto_ru,7150000.0,0,1,0,0,0,0,1,0,0,1
24,2.5,170.0,540000.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1996.0,3.0,1,0.0,auto_ru,215000.0,0,1,0,0,1,0,0,0,0,1
