bodyType,engineDisplacement,enginePower,fuelType,mileage,numberOfDoors,transmission,ownersNumber,complectation,PTC,drive,state,source,price,new,carAge,crashed_car,бензин,гибрид,дизель,электро,внедорожник,компактвэн,купе,лифтбек,минивэн,открытый,седан,универсал,хетчбек,бензин,гибрид,дизель,электро,внедорожник,компактвэн,купе,лифтбек,минивэн,открытый,седан,универсал,хетчбек
внедорожник,2.0,177,дизель,164000,5,1,2,1,2,2,1,auto_ru,850000.0,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
внедорожник,4.4,575,бензин,13500,5,1,1,1,2,2,1,auto_ru,6100000.0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
внедорожник,2.0,184,дизель,135000,5,1,2,1,2,2,1,auto_ru,990000.0,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
внедорожник,3.0,306,бензин,89000,5,1,2,1,2,2,1,auto_ru,2000000.0,0,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
внедорожник,2.0,184,бензин,146000,5,1,2,1,2,2,1,auto_ru,1400000.0,0,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
внедорожник,2.0,245,бензин,29200,5,1,2,1,2,2,1,auto_ru,1850000.0,0,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
внедорожник,3.0,249,дизель,0,5,1,1,1,2,2,1,auto_ru,5900000.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
седан,3.0,320,бензин,126000,4,1,2,1,2,2,1,auto_ru,1600000.0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
внедорожник,3.0,381,дизель,79500,5,1,2,1,2,2,1,auto_ru,2150000.0,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
седан,2.0,125,бензин,315000,4,0,3,1,2,0,1,auto_ru,450000.0,0,37,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
